"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
35	7.103199958800001e-01	-3.530689307158652e-02	1.241953690602621e+00	3.416221753264735e+02	3.433829749162369e+01	2.889563493433279e+05	9.659876759809539e+04	2.701903137203594e+02	-1.041167125300616e-01	8.377731697505397e-01	
36	6.958900094030001e-01	-3.674225211597043e-02	1.236546101727626e+00	3.422853496909792e+02	3.368096856257963e+01	2.878640628656921e+05	9.601270837251208e+04	2.697254958782777e+02	-1.170273260434934e-01	8.436206760438540e-01	
37	6.812700033190000e-01	-3.816515293304169e-02	1.231092005773529e+00	3.429305590928807e+02	3.299538674069420e+01	2.867614671217198e+05	9.542250827953217e+04	2.692550821386529e+02	-1.300291609492931e-01	8.495178218721434e-01	
38	6.664699912070000e-01	-3.957289370556494e-02	1.225534633199942e+00	3.435579600048375e+02	3.228561387254469e+01	2.856362661376104e+05	9.482226365748201e+04	2.687746607025760e+02	-1.432522721819374e-01	8.555143310569078e-01	
39	6.514999866490000e-01	-4.096270419333766e-02	1.219902949365987e+00	3.441604098610031e+02	3.154482535582226e+01	2.844943585000748e+05	9.421561782446678e+04	2.682879773396675e+02	-1.566163991296838e-01	8.615677809218082e-01	
40	6.363800168040000e-01	-4.233084266562091e-02	1.214225046435826e+00	3.447371937353114e+02	3.077233595409358e+01	2.833419667105547e+05	9.360557297615406e+04	2.677972489061132e+02	-1.700554048113818e-01	8.676549155373351e-01	
41	6.211299896240000e-01	-4.367359094194759e-02	1.208416232790310e+00	3.453029954756087e+02	2.996640671504150e+01	2.821624755229118e+05	9.298241317054835e+04	2.672931658523738e+02	-1.837833269326877e-01	8.738902916667924e-01	
42	6.057599782940000e-01	-4.498807223669178e-02	1.202490899015624e+00	3.458412900172783e+02	2.912818569270064e+01	2.809571192876421e+05	9.234865881912930e+04	2.667794584591575e+02	-1.977446419951425e-01	8.802206850306858e-01	
43	5.902799963950000e-01	-4.627132533375768e-02	1.196541302968029e+00	3.463463660584210e+02	2.823527739877148e+01	2.797455822556185e+05	9.171455251075057e+04	2.662650405281024e+02	-2.117137105065346e-01	8.865475600461714e-01	
44	5.747100114820000e-01	-4.751950934859488e-02	1.190388305811537e+00	3.468412929259964e+02	2.732126373484232e+01	2.784915150861898e+05	9.105948858469987e+04	2.657297306290092e+02	-2.261444656361278e-01	8.931061485811900e-01	
45	5.590599775310000e-01	-4.872955796694115e-02	1.183906389217071e+00	3.473360414624065e+02	2.634579462857844e+01	2.771665189505214e+05	9.036896896646194e+04	2.651585010330055e+02	-2.413562932558348e-01	9.000429545331944e-01	
46	5.433599948880000e-01	-4.989683951066199e-02	1.177585250138884e+00	3.477767296154611e+02	2.531756552404094e+01	2.758752768010326e+05	8.969943888637816e+04	2.646067759641746e+02	-2.561057310638908e-01	9.067617955644190e-01	
47	5.276100039480000e-01	-5.101897737545535e-02	1.171548170204062e+00	3.481648552211191e+02	2.420965174169265e+01	2.746428368222850e+05	8.906330366904716e+04	2.640840931799345e+02	-2.701194955005294e-01	9.131430954632400e-01	
48	5.118399858470000e-01	-5.209138375948307e-02	1.164649794761322e+00	3.486422909147474e+02	2.311073571321380e+01	2.732333438147826e+05	8.832814203648112e+04	2.634555384905036e+02	-2.863147660357160e-01	9.207058336369885e-01	
49	4.960500001910000e-01	-5.311153541819326e-02	1.157040790018401e+00	3.489850329849941e+02	2.198705466429764e+01	2.716578707036998e+05	8.752750900667030e+04	2.627843462736014e+02	-3.039523411522703e-01	9.286592608604342e-01	
50	4.802699983120000e-01	-5.407492053959814e-02	1.150806269597514e+00	3.492330030192079e+02	2.065993220483457e+01	2.703745763481233e+05	8.687943491665200e+04	2.622517291860054e+02	-3.182291134289415e-01	9.350832431484721e-01	
51	4.645099937920000e-01	-5.497835513414191e-02	1.145026310762138e+00	3.494584222696927e+02	1.928837664842858e+01	2.691935582011183e+05	8.628171748440807e+04	2.617621851594315e+02	-3.313965518397290e-01	9.410764431227059e-01	
52	4.487800002100000e-01	-5.581859897363720e-02	1.136902681723634e+00	3.499044855876174e+02	1.793895731263167e+01	2.675349952877213e+05	8.541936962187507e+04	2.609976898999881e+02	-3.503936761597434e-01	9.502014127242882e-01	
53	4.331099987030000e-01	-5.659141825851464e-02	1.128481140656324e+00	3.500927017825467e+02	1.660333539680632e+01	2.657792953299920e+05	8.454076137214203e+04	2.602408336451593e+02	-3.697490092845239e-01	9.590177923392517e-01	
54	4.174999892710000e-01	-5.729416860686566e-02	1.122925593610921e+00	3.502019239833605e+02	1.490465794926050e+01	2.646292391115844e+05	8.396893919322053e+04	2.597594036021077e+02	-3.823459872488514e-01	9.647452843235903e-01	
55	4.019699990750000e-01	-5.792324246601335e-02	1.114875439977914e+00	3.503800021140470e+02	1.356052599692643e+01	2.629776426396908e+05	8.313477536952244e+04	2.590359083808043e+02	-4.007222302368078e-01	9.734099255876428e-01	
56	3.865399956700000e-01	-5.847520956655861e-02	1.108936344629712e+00	3.502530567299888e+02	1.205208617634353e+01	2.617289834904966e+05	8.254019451298953e+04	2.585606689968271e+02	-4.138205713362779e-01	9.790138124652829e-01	
57	3.712300062180000e-01	-5.894684318665333e-02	1.113534218047759e+00	3.500534953792236e+02	9.692065209364607e+00	2.626515881538727e+05	8.303501920634939e+04	2.590367100209710e+02	-4.029198123447051e-01	9.733171400147953e-01	
58	3.560400009160000e-01	-5.933561549045978e-02	1.120240014168608e+00	3.493341286065237e+02	6.172060536686859e+00	2.639724034889697e+05	8.379498399849508e+04	2.598427077630592e+02	-3.861781396827948e-01	9.637851296089173e-01	
59	3.409900069240000e-01	-5.963847719943702e-02	1.068413919480637e+00	3.501162704892564e+02	5.915841716161876e+00	2.533125394457110e+05	7.837203888256566e+04	2.548151234070786e+02	-5.056431108666054e-01	1.022727470931068e+00	
60	3.261100053790000e-01	-5.985254444802346e-02	1.014865489386979e+00	3.491175389897388e+02	5.432042852160492e+00	2.422021959569610e+05	7.285551454990053e+04	2.493776553978951e+02	-6.271695888869678e-01	1.085237409539621e+00	
61	3.113999962810000e-01	-5.997565198183213e-02	1.008870744782444e+00	3.481555445880693e+02	1.731656456231671e+00	2.408755355736424e+05	7.232032090796178e+04	2.490166625707306e+02	-6.389596571331247e-01	1.089348233388874e+00	
62	2.968699932100000e-01	-6.000550062925582e-02	1.013153084371011e+00	3.482667105381163e+02	-6.153511533356807e-01	2.417622504253548e+05	7.276180959535838e+04	2.494778615679559e+02	-6.292338656692047e-01	1.084075033923209e+00	
63	2.825500071050000e-01	-5.994005483718394e-02	1.014949103657404e+00	3.485430297396932e+02	-2.802587206507010e+00	2.421599617696970e+05	7.292384866807522e+04	2.495909930540740e+02	-6.256642198883713e-01	1.082803125616892e+00	
64	2.684499919410000e-01	-5.977765596976551e-02	1.016430982636712e+00	3.486412439174230e+02	-5.178951415050289e+00	2.424783568144705e+05	7.306890419825245e+04	2.497228552690845e+02	-6.224687136897612e-01	1.081327905362944e+00	
